n,algorithm,scenario,k,p,q,var,sep.means,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
400,1,2,3,200,5,0.01,0,400,20,20,5,1,2,5,147.48595905304,0.075,479.98445373427
150,2,2,3,200,5,0.01,0,400,20,20,5,1,2,5,25.7906141281128,0.0133333333333333,169.834276469989
400,2,2,3,200,5,0.01,0,400,20,20,5,1,2,5,148.873610019684,0.0425,478.745724859962
150,3,2,3,200,5,0.01,0,400,20,20,5,1,2,5,124.481262922287,0.366666666666667,168.653690570498
400,3,2,3,200,5,0.01,0,400,20,20,5,1,2,5,748.157917022705,0.075,479.98445373427
150,1,1,3,200,5,0.01,0,100,20,20,5,1,1,6,5.84388613700867,0.34,170.760792932475
400,1,1,3,200,5,0.01,0,100,20,20,5,1,1,6,39.0985908508301,0.285,484.179832262092
150,2,1,3,200,5,0.01,0,100,20,20,5,1,1,6,5.85725498199463,0.00666666666666667,171.154243486948
400,2,1,3,200,5,0.01,0,100,20,20,5,1,1,6,40.5960531234741,0.0325,481.71210109603
150,3,1,3,200,5,0.01,0,100,20,20,5,1,1,6,31.6000809669495,0.366666666666667,169.241686410201
400,3,1,3,200,5,0.01,0,100,20,20,5,1,1,6,192.878322124481,0.1375,483.446055948042
150,1,2,3,200,5,0.01,0,100,20,20,5,1,1,6,6.18346381187439,0.34,170.760792932475
400,1,2,3,200,5,0.01,0,100,20,20,5,1,1,6,40.0516350269318,0.285,484.179832262092
150,2,2,3,200,5,0.01,0,100,20,20,5,1,1,6,6.41235995292664,0.00666666666666667,171.154243486948
400,2,2,3,200,5,0.01,0,100,20,20,5,1,1,6,39.6072399616241,0.0325,481.71210109603
150,3,2,3,200,5,0.01,0,100,20,20,5,1,1,6,30.5673019886017,0.366666666666667,169.241686410201
400,3,2,3,200,5,0.01,0,100,20,20,5,1,1,6,193.53656411171,0.1375,483.446055948042
150,1,1,3,200,5,0.01,0,400,20,20,5,1,1,6,24.8770208358765,0.426666666666667,170.164554908591
400,1,1,3,200,5,0.01,0,400,20,20,5,1,1,6,158.655537128448,0.1375,483.446055948042
150,2,1,3,200,5,0.01,0,400,20,20,5,1,1,6,25.1433289051056,0.0333333333333333,171.21255011808
400,2,1,3,200,5,0.01,0,400,20,20,5,1,1,6,155.980479001999,0.055,481.924460939249
150,3,1,3,200,5,0.01,0,400,20,20,5,1,1,6,121.174226999283,0.38,169.109639560658
400,3,1,3,200,5,0.01,0,400,20,20,5,1,1,6,759.946878910065,0.0825,482.554278369139
